"bird_ID";"TransmGSM";"YEAR";"nest.x";"nest.y";"Sett_year";"nest.ID";"category";"settlement.year";"YEARsPL";"settlement.yearsPL"
322;"BC38EB1D";2020;7.2896;46.771;2019;642;"nest";"1y after settling";"2020";"1y after settling"
416;"KISW01";2020;7.407;46.813;2020;703;"nest";"settlement year";"2020";"settlement year"
330;"KIWS14";2020;7.1737;46.8681;2020;696;"nest";"settlement year";"2020";"settlement year"
270;"KIWS30";2019;9.1886;47.4285;2019;597;"nest";"settlement year";"2019";"settlement year"
270;"KIWS30";2020;9.1916;47.4299;2019;698;"nest";"1y after settling";"2020";"1y after settling"
308;"KIWS46";2020;7.3441;46.75;2020;643;"nest";"settlement year";"2020";"settlement year"
370;"KIWS47";2020;7.378;46.8144;2020;647;"nest";"settlement year";"2020";"settlement year"
349;"KIWS48";2020;7.1754;46.8585;2020;627;"nest";"settlement year";"2020";"settlement year"
306;"KIWS53";2020;7.2499;46.7855;2020;710;"nest";"settlement year";"2020";"settlement year"
337;"KIWS59";2019;7.1958;46.8925;2019;516;"nest";"settlement year";"2019";"settlement year"
337;"KIWS59";2020;7.2038;46.8891;2019;654;"nest";"1y after settling";"2020";"1y after settling"
430;"KIWS60";2020;7.3672;46.8241;2020;684;"nest";"settlement year";"2020";"settlement year"
303;"KIWS61";2020;7.3262;46.8578;2020;690;"nest";"settlement year";"2020";"settlement year"
391;"KIWS65";2020;7.3015;46.8098;2019;695;"nest";"1y after settling";"2020";"1y after settling"
286;"KIWS83";2019;6.573;46.331;2019;574;"nest";"settlement year";"2019";"settlement year"
342;"KIWS93";2020;7.3896;46.7991;2020;675;"nest";"settlement year";"2020";"settlement year"
517;"KIWS95";2020;16.5733;49.4215;2020;715;"nest";"settlement year";"2020";"settlement year"
171;"SWIK03";2020;6.9515;46.683;2019;712;"nest";"1y after settling";"2020";"1y after settling"
161;"SWIK07";2019;7.7694;47.6992;2019;572;"nest";"settlement year";"2019";"settlement year"
142;"SWIK12";2018;6.8198;46.6255;2018;446;"nest";"settlement year";"2019, 2018";"1y after settling, settlement year"
142;"SWIK12";2019;6.8198;46.6255;2018;446;"nest";"1y after settling";"2019, 2018";"1y after settling, settlement year"
142;"SWIK12";2020;6.8198;46.6254;2018;676;"nest";"2y after settling";"2020";"2y after settling"
137;"SWIK17";2017;7.3254;46.869;2017;293;"nest";"settlement year";"2017, 2018";"settlement year, 1y after settling"
137;"SWIK17";2018;7.3254;46.869;2017;293;"nest";"1y after settling";"2017, 2018";"settlement year, 1y after settling"
137;"SWIK17";2019;7.3236;46.8651;2017;533;"nest";"2y after settling";"2019";"2y after settling"
137;"SWIK17";2020;7.326;46.8685;2017;671;"nest";"3y after settling";"2020";"3y after settling"
82;"SWIK23";2019;7.2526;46.7704;2019;512;"nest";"settlement year";"2019";"settlement year"
82;"SWIK23";2020;7.2524;46.7704;2019;641;"nest";"1y after settling";"2020";"1y after settling"
138;"SWIK25";2017;7.2762;46.8086;2017;31;"nest";"settlement year";"2017";"settlement year"
138;"SWIK25";2018;7.2669;46.8088;2017;429;"nest";"1y after settling";"2018";"1y after settling"
138;"SWIK25";2019;7.2715;46.8058;2017;542;"nest";"2y after settling";"2020, 2019";"3y after settling, 2y after settling"
138;"SWIK25";2020;7.2715;46.8058;2017;542;"nest";"3y after settling";"2020, 2019";"3y after settling, 2y after settling"
154;"SWIK27";2018;7.2562;46.847;2018;421;"nest";"settlement year";"2018, 2020";"settlement year, 2y after settling"
154;"SWIK27";2019;7.2556;46.8471;2018;537;"nest";"1y after settling";"2019";"1y after settling"
