fid;bird_ID;TransmGSM;Type;Start;end.movwindow;End;cutoff;LON;LAT;Counter
105;15;SWIK49;Potato;2019-07-09;2019-07-10;2019-07-12;9;6.934696;47.192734;Francesca
106;15;SWIK49;Settlement;2020-04-12;2020-07-15;2020-07-19;6;7.370045;47.333444;Francesca
107;157;SWIK52;Potato;2017-06-03;2017-06-03;2017-06-05;9;9.018243;47.385628;Etienne
108;157;SWIK52;Settlement;2020-04-02;2020-05-17;2020-05-21;6;8.824945;47.654587;Etienne
109;40;SWIK69;Potato;2018-07-04;2018-07-08;2018-07-10;9;7.422176;46.789782;Joni
110;40;SWIK69;Settlement;2019-02-25;2019-04-12;2019-04-16;6;7.347012;46.869637;Joni
111;228;SWIK71;Potato;2017-05-07;2017-05-10;2017-05-12;9;2.895884;44.881221;Fiona
112;228;SWIK71;Settlement;2018-04-04;2018-06-10;2018-06-14;6;5.398052;46.043866;Fiona
113;367;SWIK75;Potato;2018-07-18;2018-07-27;2018-07-29;9;9.418426;48.1151;Lara
114;367;SWIK75;Settlement;2020-03-03;2020-05-25;2020-05-29;6;7.296673;46.80651;Lara
115;5;SWIK84;Potato;2017-07-25;2017-07-25;2017-07-27;9;9.625749;48.178562;Lara
116;5;SWIK84;Settlement;2018-03-29;2018-05-23;2018-05-27;6;7.162927;46.859473;Lara
117;91;SWIK88;Potato;2018-06-11;2018-06-11;2018-06-13;9;7.328566;46.782678;Lara
118;91;SWIK88;Settlement;2019-03-23;2019-06-18;2019-06-22;6;7.284927;46.772258;Lara
119;124;SWIK90;Potato;2019-06-02;2019-06-05;2019-06-07;9;7.952478;47.098594;Frank
120;124;SWIK90;Settlement;2020-03-17;2020-06-14;2020-06-18;6;7.83545;47.095821;Frank
121;6;SWIK95;Potato;2018-07-30;2018-07-31;2018-08-02;9;7.355982;46.767981;Lara
122;6;SWIK95;Settlement;2019-02-16;2019-05-25;2019-05-29;6;7.179045;46.800695;Lara
123;26;WSIK06;Potato;2017-03-20;2017-03-22;2017-03-24;9;6.864054;46.587832;Francesca
124;26;WSIK06;Settlement;2018-04-04;2018-06-18;2018-06-22;6;7.285907;46.888975;Francesca
125;37;WSIK07;Potato;2017-07-28;2017-07-29;2017-07-31;9;7.360886;46.852506;Joni
126;37;WSIK07;Settlement;2018-05-20;2018-06-25;2018-06-29;6;7.413244;46.831545;Joni
127;29;WSIK12;Potato;2017-07-12;2017-07-12;2017-07-14;9;7.004796;46.689847;Edmee
128;29;WSIK12;Settlement;2019-03-23;2019-06-23;2019-06-27;6;7.300051;46.831779;Edmee
129;116;WSIK18;Potato;2017-07-07;2017-07-29;2017-07-31;9;7.292805;46.77713;Francesca
130;116;WSIK18;Settlement;2019-03-07;2019-07-21;2019-07-25;6;7.245072;46.771752;Francesca
131;43;WSIK25;Potato;2017-07-08;2017-07-10;2017-07-12;9;10.296707;48.031331;Lara
132;43;WSIK25;Settlement;2019-03-17;2019-06-18;2019-06-22;6;7.184807;46.776087;Lara
133;56;WSIK31;Potato;2019-03-01;2019-03-09;2019-03-11;9;7.390381;46.867447;Rafa
134;56;WSIK31;Settlement;2020-03-06;2020-05-13;2020-05-17;6;7.356385;46.887634;Rafa
135;118;WSIK35;Potato;2017-06-04;2017-06-07;2017-06-09;9;7.420229;46.822075;Joni
136;118;WSIK35;Settlement;2019-03-30;2019-07-19;2019-07-23;6;7.418743;46.787492;Joni
137;316;WSIK40;Potato;2018-04-01;2018-04-01;2018-04-03;9;7.123059;46.712612;Joni
138;316;WSIK40;Settlement;2020-03-08;2020-07-14;2020-07-18;6;7.315608;46.768525;Joni
139;399;WSIK43;Potato;2018-07-29;2018-07-30;2018-08-01;9;7.354317;46.771674;Lara
140;399;WSIK43;Settlement;2020-03-01;2020-07-14;2020-07-18;6;7.329151;46.807586;Lara
141;98;WSIK49;Potato;2017-06-09;2017-06-10;2017-06-12;9;7.292623;46.786601;Frank
142;98;WSIK49;Settlement;2018-04-04;2018-05-28;2018-06-01;6;7.246264;46.835464;Frank
143;95;WSIK50;Settlement;2019-03-24;2019-07-18;2019-07-22;6;7.281381;46.78134;Frank
144;84;WSIK55;Potato;2018-04-05;2018-04-05;2018-04-07;9;7.294958;46.722779;Etienne
145;84;WSIK55;Settlement;2019-04-20;2019-07-11;2019-07-15;6;7.219681;46.751518;Etienne
146;108;WSIK56;Settlement;2019-03-31;2019-07-14;2019-07-18;6;7.375421;46.853364;Joni
147;49;WSIK57;Potato;2017-07-03;2017-07-03;2017-07-05;9;7.361078;46.858714;Joni
148;49;WSIK57;Settlement;2019-03-23;2019-06-03;2019-06-07;6;7.325623;46.841147;Joni
149;55;WSIK58;Potato;2018-06-03;2018-06-15;2018-06-17;9;7.300345;46.794207;Frank
150;55;WSIK58;Settlement;2019-04-07;2019-06-25;2019-06-29;6;7.283139;46.827283;Frank
151;74;WSIK68;Potato;2017-06-23;2017-06-24;2017-06-26;9;6.920164;46.652735;Edmee
152;74;WSIK68;Settlement;2019-05-01;2019-07-18;2019-07-22;6;7.208258;46.742046;Edmee
153;251;WSIK73;Potato;2019-07-17;2019-07-17;2019-07-19;9;7.419729;46.795736;Joni
154;251;WSIK73;Settlement;2020-03-02;2020-05-16;2020-05-20;6;7.34969;46.856127;Joni
155;523;WSIK78;Potato;2019-06-05;2019-06-09;2019-06-11;9;7.2442;46.811067;Frank
156;523;WSIK78;Settlement;2020-05-01;2020-07-03;2020-07-07;6;7.281303;46.855439;Frank
157;297;WSIK79;Potato;2018-07-08;2018-07-08;2018-07-10;9;8.601722;47.160986;Joni
158;297;WSIK79;Settlement;2019-04-24;2019-07-07;2019-07-11;6;13.128605;48.123124;Joni
159;528;WSIK81;Potato;2019-06-14;2019-06-21;2019-06-23;9;6.683722;46.943831;Francesca
160;528;WSIK81;Settlement;2021-03-22;2021-04-18;2021-04-22;6;7.249681;46.789016;Francesca
161;438;WSIK84;Potato;2018-05-30;2018-06-10;2018-06-12;9;7.300458;46.7851;Frank
162;438;WSIK84;Settlement;2021-04-01;2021-04-18;2021-04-22;6;7.274588;46.833636;Frank
163;437;WSIK85;Potato;2019-08-26;2019-08-26;2019-08-28;9;7.334803;46.761252;Lara
164;437;WSIK85;Settlement;2021-03-24;2021-04-25;2021-04-29;6;7.279963;46.765398;Lara
165;358;WSIK87;Potato;2018-06-02;2018-06-14;2018-06-16;9;7.303108;46.786101;Frank
166;358;WSIK87;Settlement;2021-03-26;2021-04-18;2021-04-22;6;7.343808;46.790055;Frank
167;340;WSIK92;Potato;2018-07-04;2018-07-10;2018-07-12;9;7.800104;47.079641;Frank
168;340;WSIK92;Settlement;2020-04-07;2020-07-14;2020-07-18;6;7.247359;46.809611;Frank
169;325;WSIK96;Potato;2018-06-04;2018-06-14;2018-06-16;9;7.375622;46.794711;Lara
170;325;WSIK96;Settlement;2021-03-04;2021-04-18;2021-04-22;6;7.316102;46.807399;Lara
