bird_ID;TransmGSM;Sex;Hatchyear;Sett_year;TerritoryID_Sett_year;Square;nest_name_17;nest_x_17;nest_y_17;nest_ID_17;nest_name_18;nest_x_18;nest_y_18;nest_ID_18;nest_name_19;nest_x_19;nest_y_19;nest_ID_19;nest_name_20;nest_x_20;nest_y_20;nest_ID_20;Nested_for_sure;Nest_Sett_year;Notes
495;3B319F1C;f;2018;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
492;BD319F1C;f;2018;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
511;KISA23;f;2018;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
426;KISA25;f;2017;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
710;KISS02;f;2019;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
422;KIWS11;m;2017;2020;231;outN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
262;KIWS20;f;2017;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
260;KIWS23;f;2017;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
401;KIWS66;m;2017;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
403;KIWS67;f;2017;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
402;KIWS71;f;2017;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
304;KIWS75;m;2017;2020;none;outFeast;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;mobile again
521;KIWS76;f;2018;2020;84;outFeast;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
343;KIWS79;f;2017;2021;NA;outJ22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
285;KIWS92;m;2017;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
139;SWIK55;m;2015;2020;154;outFeast;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
54;SWIK73;m;2016;2019;190;outFwest;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
12;SWIK80;f;2016;2020;229;outW;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
113;WSIK39;f;2016;2018;none;H21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;XX_Hinter_Schönfels (nr 210?);mobile again
316;WSIK40;m;2017;2020;139;L21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
72;WSIK44;m;2016;2020;168;K18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
528;WSIK81;f;2018;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
437;WSIK85;m;2017;2019;156;L20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;mobile again
358;WSIK87;f;2017;2020;236;J22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;dead or mobile again
340;WSIK92;m;2017;2020;85;J19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
325;WSIK96;m;2017;2020;11;J22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;705_Schwarzenburg_Chilchermatt_Galtern;7.3533;46.8086;705;1;705_Schwarzenburg_Chilchermatt_Galtern;
