bird_ID;TransmGSM;YEAR;nest.x;nest.y;Sett_year;nest.ID;category;settlement.year;YEARsPL;settlement.yearsPL;earliest_eggs;latest_end;fledglings
399;WSIK43;2020;7.3287;46.8079;2020;706;nest;settlement year;2020;settlement year;2020-04-19;2020-07-15;yes
98;WSIK49;2019;7.2403;46.8276;2018;581;nest;1y after settling;2019;1y after settling;2019-04-23;2019-06-21;yes
98;WSIK49;2020;7.2393;46.8255;2018;637;nest;2y after settling;2020;2y after settling;2020-04-10;2020-07-06;yes
95;WSIK50;2019;7.2832;46.7817;2019;544;nest;settlement year;2019;settlement year;NA;NA;no
95;WSIK50;2020;7.2826;46.7821;2019;711;nest;1y after settling;2020;1y after settling;2020-04-16;2020-06-05;no
84;WSIK55;2020;7.226;46.7463;2019;683;nest;1y after settling;2020;1y after settling;2020-04-17;2020-07-13;yes
49;WSIK57;2019;7.3286;46.843;2019;590;nest;settlement year;2019;settlement year;2019-05-02;NA;no
74;WSIK68;2020;7.2082;46.7423;2019;669;nest;1y after settling;2020;1y after settling;2020-04-06;2020-06-19;no
251;WSIK73;2020;7.3509;46.8571;2020;674;nest;settlement year;2020;settlement year;NA;NA;no
297;WSIK79;2019;13.1281;48.1242;2019;602;nest;settlement year;2019;settlement year;2019-05-06;2019-08-01;NA
325;WSIK96;2020;7.3533;46.8086;2020;705;nest;settlement year;2020;settlement year;NA;NA;no
